abbout	about
abscence	absence
accidant	accident
accomodate	accommodate
accrss	across
acheive	achieve
adequit	adequate
advanage	advantage
appearence	appearance
aquisition	acquisition
arguement	argument
balence	balance
benifit	benefit
beutiful	beautiful
catagory	category
challange	challenge
cheif	chief
commite	committee
cooporate	cooperate
devellop	develop
diffferance	difference
doller	dollar
embarass	embarrass
especally	especially
excellant	excellent
freinds	friends
garantee	guarantee
hapens	happens
imediate	immediate
insurence	insurance
lenght	length
libary	library
lisense	license
mesage	message
necassary	necessary
occassion	occasion
occured	occurred
permanant	permanent
reccomend	recommend
recieve	receive
scedule	schedule
secratary	secretary
seperate	separate
simalar	similar
successfuly successfully
suprise 	surprise
theif	thief
